episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration
1,-97542.0,2,36,23.0,50.0,,244.76285705566406,2.2212228775024414
2,56836.0,22,31,27.045455932617188,53.40909194946289,,482.87194637376433,1.9628231525421143
