episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration
1,-15978.0,0,12,,,,1030.6129207611084,0.9932217597961426
2,-6590.0,0,8,,,,1080.282160949707,0.7971541881561279
