episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration
1,-14028.0,1,12,7.0,100.0,,8.829303231090307,0.6914658546447754
2,-7728.0,2,11,5.0,100.0,,12.062237538789448,0.3664400577545166
